Designator,Mid X,Mid Y,Rotation,Layer
C1,101.003887,-155.903,0.0,bottom
C2,91.668,-146.124,0.0,bottom
J1,98.535,-59.51,180.0,top
J2,98.535,-79.83,180.0,top
J3,98.535,-100.15,180.0,top
J4,98.535,-120.47,180.0,top
J5,83.785,-140.79,0.0,top
J7,87.35,-154.125,90.0,bottom
R1,83.54,-69.67,180.0,bottom
R2,83.54,-89.99,180.0,bottom
R3,83.54,-110.31,180.0,bottom
R4,83.54,-130.63,180.0,bottom
R5,83.54,-133.805,180.0,bottom
R6,83.54,-113.612,0.0,bottom
R7,102.59,-130.122,90.0,bottom
R8,83.54,-147.14,0.0,bottom
RV1,83.542752,-60.715,180.0,top
RV2,83.542752,-81.035,180.0,top
RV3,83.542752,-101.355,180.0,top
RV4,83.542752,-121.675,180.0,top
RV5,98.782752,-141.995,180.0,top
U2,94.96,-130.122,270.0,bottom
