Designator,Mid X,Mid Y,Rotation,Layer
C1,101.884876,-147.573643,0.0,bottom
C2,101.884876,-155.574643,0.0,bottom
J1,83.819563,-59.511843,0.0,top
J2,83.819563,-79.831843,0.0,top
J3,83.819563,-100.151843,0.0,top
J4,83.819563,-120.471843,0.0,top
J5,98.5133,-140.79,180.0,top
J7,87.553363,-153.998,90.0,bottom
R1,98.7927,-69.67,180.0,bottom
R2,98.7927,-89.99,180.0,bottom
R3,98.7927,-110.31,180.0,bottom
R4,98.7927,-130.63,180.0,bottom
R5,98.7927,-133.805,180.0,bottom
R6,98.7927,-113.612,0.0,bottom
R7,83.540163,-133.679843,180.0,bottom
R8,83.540163,-130.631843,0.0,bottom
RV1,98.792863,-62.801143,180.0,top
RV2,98.792863,-83.121143,180.0,top
RV3,98.792863,-103.441143,180.0,top
RV4,98.792863,-123.761143,180.0,top
RV5,83.540326,-144.082986,180.0,top
U2,84.556163,-110.311843,270.0,bottom
